Target_index,Ping_index,Ping_date,Ping_time,Ping_milliseconds,Range,Depth
230,430,3/5/2019,10:11:40,432,3.699121657,3.893341799
231,430,3/5/2019,10:11:40,432,3.89399817,4.08506114
232,431,3/5/2019,10:11:40,832,3.723126036,3.917023273
233,431,3/5/2019,10:11:40,832,3.796187085,3.983127372
234,431,3/5/2019,10:11:40,832,4.015813188,4.205510364
235,432,3/5/2019,10:11:41,233,3.954768162,4.147665499
236,433,3/5/2019,10:11:41,632,3.991360348,4.179133178
237,434,3/5/2019,10:11:42,32,4.100862414,4.29004999
238,435,3/5/2019,10:11:42,432,4.052033044,4.250965877
239,435,3/5/2019,10:11:42,432,4.137421817,4.334384886
240,435,3/5/2019,10:11:42,432,4.22278441,4.421856922
241,436,3/5/2019,10:11:42,831,4.185975167,4.384118016
242,443,3/5/2019,10:11:45,633,3.564883066,3.749277133
243,444,3/5/2019,10:11:46,33,4.003347077,4.182033746
244,457,3/5/2019,10:11:51,232,4.186356411,4.380399302
245,458,3/5/2019,10:11:51,632,4.296053469,4.491598101
246,459,3/5/2019,10:11:52,32,4.052329623,4.244898114
247,460,3/5/2019,10:11:52,432,4.03987375,4.23802174
248,460,3/5/2019,10:11:52,432,4.198239141,4.39821826
249,460,3/5/2019,10:11:52,432,4.283611097,4.470825894
250,462,3/5/2019,10:11:53,232,4.07627948,4.272180271
251,462,3/5/2019,10:11:53,232,4.295813294,4.485745592
252,463,3/5/2019,10:11:53,632,4.125255346,4.31117186
253,465,3/5/2019,10:11:54,431,4.247206287,4.433204214
254,493,3/5/2019,10:12:05,632,4.259342733,4.443572048
255,494,3/5/2019,10:12:06,32,4.210525795,4.396286474
256,497,3/5/2019,10:12:07,232,4.161740463,4.352888431
257,499,3/5/2019,10:12:08,32,4.113025395,4.297420078
258,501,3/5/2019,10:12:08,832,4.027682893,4.208970276
259,504,3/5/2019,10:12:10,33,4.149712142,4.325686343
260,505,3/5/2019,10:12:10,432,3.747634642,3.929086206
261,506,3/5/2019,10:12:10,832,3.516120111,3.69945009
262,507,3/5/2019,10:12:11,232,3.345280041,3.542376987
263,507,3/5/2019,10:12:11,232,3.430615644,3.62750807
264,507,3/5/2019,10:12:11,232,4.027869972,4.207516553
265,508,3/5/2019,10:12:11,632,3.491714869,3.689968865
266,516,3/5/2019,10:12:14,832,3.662093254,3.848004686
267,517,3/5/2019,10:12:15,232,3.55257381,3.740962486
268,517,3/5/2019,10:12:15,232,3.686622589,3.881607915
269,517,3/5/2019,10:12:15,232,3.771786892,3.967811204
270,518,3/5/2019,10:12:15,633,3.479251316,3.671435447
271,518,3/5/2019,10:12:15,633,3.564487373,3.756962111
272,518,3/5/2019,10:12:15,633,3.662001623,3.859821445
273,518,3/5/2019,10:12:15,633,3.723253306,3.921958544
274,518,3/5/2019,10:12:15,633,3.760012405,3.959082407
275,518,3/5/2019,10:12:15,633,3.808475533,4.00727359
276,519,3/5/2019,10:12:16,32,3.576998844,3.76905476
277,519,3/5/2019,10:12:16,32,3.67456351,3.869984272
278,519,3/5/2019,10:12:16,32,3.759573653,3.957795589
279,520,3/5/2019,10:12:16,432,4.07661847,4.258743476
280,521,3/5/2019,10:12:16,843,4.02791483,4.21217091
281,522,3/5/2019,10:12:17,233,4.174066548,4.36108295
282,523,3/5/2019,10:12:17,632,4.21079964,4.40025116
283,524,3/5/2019,10:12:18,32,3.8450579,4.027856016
284,525,3/5/2019,10:12:18,432,3.893718834,4.085514423
285,525,3/5/2019,10:12:18,432,4.015678743,4.206835875
286,525,3/5/2019,10:12:18,432,4.10094861,4.290415619
287,525,3/5/2019,10:12:18,432,4.283751042,4.476172173
288,526,3/5/2019,10:12:18,832,4.125110943,4.318269244
289,527,3/5/2019,10:12:19,232,4.161798511,4.353474213
290,527,3/5/2019,10:12:19,232,4.222887081,4.416185267
291,528,3/5/2019,10:12:19,632,4.271330296,4.463986279
292,529,3/5/2019,10:12:20,31,4.283796708,4.468526573
293,532,3/5/2019,10:12:21,232,4.271573296,4.455052138
294,546,3/5/2019,10:12:26,831,3.820529508,4.005529407
295,547,3/5/2019,10:12:27,243,3.942581331,4.126020575
296,553,3/5/2019,10:12:29,632,3.89372167,4.073249809
297,554,3/5/2019,10:12:30,32,3.918093222,4.104787922
298,561,3/5/2019,10:12:32,832,4.149772394,4.329678065
